16/08/2026                                                                                          Página 1



Signatura            Supl.    NA        Suc. Loc.    Cod./Bar.  NEA       Título
HG1/03/Quin                   91200     BH   BH.G    500091202  91202     Quiddities : an international philosophical dictionary /    
HG1/03/Quin                   90882     BH   BH.G    500211335  211335    Diccionario de filosofía contemporánea /                    
HG1/03/Riot                   1116643   BH   BH.G    102135075  1647365   Dictionnaire des utopies /                                  
HG1/03/Ritt                   1018113   BH   BH.G    501018115  1018115   Historisches Wörterbuch der Philosophie /                   
HG1/03/Ritt                   860229    BH   BH.G    500860234  860234    Historisches Wörterbuch der Philosophie /                   


16/08/2026                                                                                          Página 3



Signatura            Supl.    NA        Suc. Loc.    Cod./Bar.  NEA       Título
-------------------  -------- --------  ---- ------  ---------- --------  ------------------------------------------------------------
HG1/03/Ritt                   84200     BH   BH.G    500084241  84241     Historisches Wörterbuch der Philosophie /                   
HG1/03/Ritt                   84277     BH   BH.G    500084280  84280     Historisches Wörterbuch der Philosophie /                   
HG1/03/Ritt                   84270     BH   BH.G    500084276  84276     Historisches Wörterbuch der Philosophie /                   
HG1/03/Ritt                   84263     BH   BH.G    500084267  84267     Historisches Wörterbuch der Philosophie /                   
HG1/03/Ritt                   93958     BH   BH.G    500093959  93959     Historisches Wörterbuch der Philosophie /                   
HG1/03/Ritt                   84242     BH   BH.G    500084247  84247     Historisches Wörterbuch der Philosophie /                   
HG1/03/Ritt                   84253     BH   BH.G    500084257  84257     Historisches Wörterbuch der Philosophie /                   
HG1/03/Rose                   90161     BH   BH.G    500090169  90169     Diccionario filosófico /                                    
HG1/03/Rout                   1157199   BH   BH.G    502185047  1703707   The Routledge companion to twentieth-century philosophy /   
HG1/03/Rout                   1160231   BH   BH.G    502189680  1709141   The Routledge companion to philosophy of science /          
HG1/03/Rout                   2103732   BH   BH.G    102364919  1864740   The shorter Routledge encyclopedia of Philosophy /          
HG1/03/Rout                   979156    BH   BH.G    500979157  979157    Routledge encyclopedia of Philosophy /                      
HG1/03/Sada                   924315    BH   BH.G    502006143  1504858   Diccionario de ética /                                      
HG1/03/Sada                   924315    BH   BH.G    500936728  936728    Diccionario de ética /                                      
HG1/03/Sava                   798148    BH   BH.G    500798178  798178    Diccionario filosófico /                                    
HG1/03/Term                   1058287   BH   BH.G    502061939  1562897   Términos y usos del lenguaje filosófico /                   
HG1/03/Warb                   1095436   BH   BH.G    102110799  1621382   Thinking from A to Z /                                      
HG1/09/Abba                   98946     BH   BH.G    102339119  1845740   Historia de la filosofía /                                  
HG1/09/Abba                   98929     BH   BH.G    100098934  98934     Historia de la filosofía /                                  
HG1/09/Abba                   98946     BH   BH.G    100098952  98952     Historia de la filosofía /                                  
HG1/09/Abba                   40743     BH   BH.G    100040744  40744     Historia de la filosofía /                                  
HG1/09/Abba                   412784    BH   BH.G    100982850  982850    Historia de la filosofía /                                  
HG1/09/Abba                   98958     BH   BH.G    100098973  98973     Historia de la filosofía /                                  
HG1/09/Abba                   98958     BH   BH.G    100982950  982950    Historia de la filosofía /                                  
HG1/09/Abel                   46884     BH   BH.G    100046887  46887     Historia crítica del pensamiento español /                  
HG1/09/Abel                   46884     BH   BH.G    100483224  483224    Historia crítica del pensamiento español /                  
HG1/09/Abel                   5212      BH   BH.G    100200300  200300    Historia crítica del pensamiento español /                  
HG1/09/Abel                   5212      BH   BH.G    100483219  483219    Historia crítica del pensamiento español /                  
HG1/09/Abel                   5212      BH   BH.G    100071074  71074     Historia crítica del pensamiento español /                  
HG1/09/Abel                   12244     BH   BH.G    100070756  70756     Historia crítica del pensamiento español /                  
HG1/09/Abel                   12248     BH   BH.G    100123023  123023    Historia crítica del pensamiento español /                  
HG1/09/Abel                   12248     BH   BH.G    100070745  70745     Historia crítica del pensamiento español /                  
HG1/09/Abel                   12251     BH   BH.G    100071078  71078     Historia crítica del pensamiento español /                  
HG1/09/Abel                   91099     BH   BH.G    100091100  91100     El pensamiento español : de Séneca a Zubiri /               
HG1/09/Abel                   46884     BH   BH.G    100199261  199261    Historia crítica del pensamiento español /                  
HG1/09/Abel                   71477     BH   BH.G    100199245  199245    Historia crítica del pensamiento español /                  
HG1/09/Abel                   321545    BH   BH.G    100459805  459805    Historia crítica del pensamiento español /                  
HG1/09/Abel                   888597    BH   BH.G    100893879  893879    Historia crítica del pensamiento español /                  
HG1/09/Abel                   888597    BH   BH.G    100888609  888609    Historia crítica del pensamiento español /                  
HG1/09/Abel                   888597    BH   BH.G    100888605  888605    Historia crítica del pensamiento español /                  
HG1/09/Abel                   321545    BH   BH.G    100363687  363687    Historia crítica del pensamiento español /                  
HG1/09/Abel                   888597    BH   BH.G    100893881  893881    Historia crítica del pensamiento español /                  
HG1/09/Ansc                   83573     BH   BH.G    100083581  83581     Three philosophers /                                        
HG1/09/Berm                   17718     BH   BH.G    102026749  93291     Los filósofos y sus filosofías /                            
HG1/09/Berm                   17725     BH   BH.G    100093295  93295     Los filósofos y sus filosofías /                            
HG1/09/Berm                   17725     BH   BH.G    100090282  90282     Los filósofos y sus filosofías /                            
HG1/09/Berm                   17725     BH   BH.G    100038989  38989     Los filósofos y sus filosofías /                            
HG1/09/Berm                   17721     BH   BH.G    100093292  93292     Los filósofos y sus filosofías /                            
HG1/09/Berm                   17718     BH   BH.G    100090275  90275     Los filósofos y sus filosofías /                            
HG1/09/Berm                   17721     BH   BH.G    102026747  90277     Los filósofos y sus filosofías /                            
HG1/09/Breh                   91042     BH   BH.G    102105184  91204     Historia de la filosofía /                                  
HG1/09/Breh                   91211     BH   BH.G    102105187  91216     Historia de la filosofía /                                  
HG1/09/Breh                   91206     BH   BH.G    102105186  91210     Historia de la filosofía /                                  
HG1/09/Broa                   931242    BH   BH.G    100931245  931245    Escepticismo y sentido común /                              
HG1/09/Bust                   547432    BH   BH.G    100547433  547433    Noein, historia da filosofía /                              
HG1/09/Camb                   1027734   BH   BH.G    102012090  1510627   The Cambridge companion to Ockham /                         


16/08/2026                                                                                          Página 4



Signatura            Supl.    NA        Suc. Loc.    Cod./Bar.  NEA       Título
-------------------  -------- --------  ---- ------  ---------- --------  ------------------------------------------------------------
HG1/09/Camb                   1038066   BH   BH.G    102031937  1529996   The Cambridge companion to Augustine /                      
HG1/09/Camb                   828031    BH   BH.G    100828046  828046    The Cambridge companion to Habermas /                       
HG1/09/Camb                   1157720   BH   BH.G    102185089  1704629   The Cambridge companion to Carnap /                         
HG1/09/Camb                   1177667   BH   BH.G    102211701  1733104   The Cambridge companion to Frege /                          
HG1/09/Camb                   1168260   BH   BH.G    102199495  1720802   The Cambridge companion to logical empiricism /             
HG1/09/Camb                   2099560   BH   BH.G    102360259  1858513   The Cambridge history of philosophy, 1945-2015 /            
HG1/09/Camb                   1038077   BH   BH.G    102031939  1530009   The Cambridge companion to early Greek philosophy /         
HG1/09/Camb                   1030458   BH   BH.G    102018422  1516907   The Cambridge companion to Nietzsche /                      
HG1/09/Camb                   1030449   BH   BH.G    102018420  1516898   The Cambridge companion to Aristotle /                      
HG1/09/Camb                   1030454   BH   BH.G    102018421  1516903   The Cambridge companion to Spinoza /                        
HG1/09/Camb                   1031006   BH   BH.G    102019155  1517685   The Cambridge companion to Descartes /                      
HG1/09/Camb                   1104485   BH   BH.G    102122630  1634229   The Cambridge companion to Quine /                          
HG1/09/Camb                   1108417   BH   BH.G    102126251  1638238   The Cambridge companion to Schopenhauer /                   
HG1/09/Camb                   1109957   BH   BH.G    102124903  1638815   The Cambridge companion to Kant and modern philosophy /     
HG1/09/Camb                   1110484   BH   BH.G    102127611  1639553   The Cambridge companion to Plato /                          
HG1/09/Camb                   1110478   BH   BH.G    102127610  1639551   The Cambridge companion to Greek and Roman philosophy /     
HG1/09/Camb                   1110511   BH   BH.G    102127612  1639608   The Cambridge companion to the Stoics /                     
HG1/09/Camb                   1083875   BH   BH.G    102097754  1604222   The Cambridge history of philosophy, 1870-1945 /            
HG1/09/Camb                   1088506   BH   BH.G    102103359  1610577   The Cambridge companion to Anselm /                         
HG1/09/Camb                   1092948   BH   BH.G    102107963  1616801   The Cambridge companion to Bertrand Russell /               
HG1/09/Camb                   1092948   BH   BH.G    102165234  1683765   The Cambridge companion to Bertrand Russell /               
